route_id,service_id,trip_id,trip_headsign,direction_id,block_id
25,24,3454209,NB Deception Pass,0,146
66,25,4100399,West,0,174
42,23,2904209,NB Freeland via Langley,0,118
35,28,4903389,West Beach/Keystone,0,102
19,28,4601769,,0,113
42,23,2953389,SB Clinton via Langley,0,115
51,24,3301799,10/2 City Shuttle,0,145
64,25,2003389,Everett,0,168
21,23,3252589,Southbound Clinton Ferry,0,113
46,28,5152569,Scatchet/Langley,0,141
35,28,4952569,West Beach/Keystone,0,100
11,23,3855029,Mt Vernon,0,132
50,28,5202569,City Shuttle,0,102
11,28,4705029,Mt Vernon,0,105
11,28,4755029,Whidbey,0,105
50,23,3153399,City Shuttle,0,133
58,25,1355859,Camano,0,173
46,23,3003399,Scatchet/Langley,0,141
58,25,1305859,Mt Vernon,0,173
35,23,2853399,West Beach/Keystone,0,100
42,28,5003389,,0,119
